mmsi,timestamp,distance_from_shore,distance_from_port,speed,course,lat,lon,is_fishing,source,geometry,eez_name,inside_indonesia_eez,distance_to_lane_km,inside_shipping_lane,nearest_port,distance_to_port_km,protected_name,protected_category,protected_no_take,distance_to_protected_km,inside_protected_area,bathymetry_m,year,month,day,hour,minute,day_of_week,is_weekend,time_gap_second,previous_speed,previous_course,acceleration,course_change,distance_previous_km,is_stop,trip_id,speed_change,acceleration_abs,turning_rate,heading_sin,heading_cos,hour_sin,hour_cos,month_sin,month_cos,movement_state,log_distance_port,log_distance_shore,depth_abs,historical_points,trip_length,gps_gap,missing_course,anomaly_score,embedding_norm,risk_level
33266086194351,2016-03-07 15:40:38,-0.6617833323909948,-0.2711684661211052,1.1767296470768185,-0.8601593763289525,0.34666666,123.95416,-1,crowd_sourced,b'\x01\x01\x00\x00\x00\xfe\xff\xff\xff\x10\xfd^@\x00\x00\x00`\xc9/\xd6?',Indonesian Exclusive Economic Zone,True,-0.15313077011676868,False,GORONTALO,-0.3677594112134065,Bogani Nani Wartabone,II,Not Applicable,-0.7183894799871127,False,0.6061087769649446,2016,3,7,15,40,0,0,1.0,0.0,0.0,157.624491318663,103.0,0.0,0,167,1.4058176573366974,157.7064793121772,101.24435760949981,-0.01501204929501641,0.9998873128387838,-0.7071067811865471,-0.7071067811865479,1.0,6.123233995736766e-17,1,-0.03420890950417402,-0.83957087531293,-0.48405825865622165,-1.649264510227804,-0.9241161100776825,-0.4380937750433577,0,681.7613,68.518486,Extreme
33266086194351,2016-06-25 20:31:47,-0.3339288414865516,-0.34538932389804156,-0.943389119308986,-1.7710300213070223,1.345,125.95416,-1,crowd_sourced,b'\x01\x01\x00\x00\x00\xfe\xff\xff\xff\x10}_@\x00\x00\x00\xc0\x1e\x85\xf5?',Indonesian Exclusive Economic Zone,True,-0.4438598390544117,False,BITUNG,-0.4254587942307973,Batu Angus,V,Not Applicable,-0.4176952072301631,False,-0.4177099820981211,2016,6,25,20,31,5,1,2.0,5.0,208.0,-35.19003843262141,152.0,0.0,1,212,-0.22352657671582776,35.17787466401355,99.604342750788,-0.03090538306580162,0.9995223145570868,-0.8660254037844386,0.5000000000000001,1.2246467991473532e-16,-1.0,0,-0.14130931882834732,-0.020787649365462634,-0.8487133587158081,-1.649264510227804,-0.951156103670502,-0.4380937750433577,0,273.593,121.515335,Extreme
165172979135964,2016-10-09 18:49:42,-0.3774345363861752,-0.5154197691072026,1.7446186120298215,-1.4668168991990231,-1.378455,117.30936,-1,false_positives,b'\x01\x01\x00\x00\x00\xff\xff\xff\x7f\xccS]@\x01\x00\x00\xe0&\x0e\xf6\xbf',Indonesian Exclusive Economic Zone,True,-0.546306232523411,True,SENIPAH OIL TERMINAL,-0.5579431098647174,Bukit Soeharto,VI,Not Applicable,-0.5866506784994329,False,0.6177732061205051,2016,10,9,18,49,6,1,3.0,0.8,123.4,62.859201136582854,89.0,821.47284,0,142,1.352702139401446,62.868314879031836,43.679748232091974,-0.025597988046843687,0.99967231781617,-1.0,-1.8369701987210297e-16,-0.8660254037844386,0.5000000000000001,1,-0.43467515385867433,-0.10239624388930366,-0.46148118440335495,1.4350130946115454,-0.7882228089445387,-0.4380937750433577,0,210.04121,21.849606,Extreme
33266086194351,2016-03-07 15:40:37,-0.6617833323909948,-0.2711684661211052,-0.943389119308986,-1.7710300213070223,0.34666666,123.95416,-1,crowd_sourced,b'\x01\x01\x00\x00\x00\xfe\xff\xff\xff\x10\xfd^@\x00\x00\x00`\xc9/\xd6?',Indonesian Exclusive Economic Zone,True,-0.15313077011676868,False,GORONTALO,-0.3677594112134065,Bogani Nani Wartabone,II,Not Applicable,-0.7183894799871127,False,0.6061087769649446,2016,3,7,15,40,0,0,108046.0,11.6,271.0,-0.006415790502370986,89.0,1391.7649,1,167,-1.7338486540750464,-0.032804088469095855,-0.10709422197366153,-0.03090538306580162,0.9995223145570868,-0.7071067811865471,-0.7071067811865479,1.0,6.123233995736766e-17,0,-0.03420890950417402,-0.83957087531293,-0.48405825865622165,-1.649264510227804,-0.9241161100776825,2.2826163186204402,0,127.90966,53.01954,Extreme
33266086194351,2016-06-25 20:31:45,-0.3339288414865516,-0.34538932389804156,0.0030924889460195006,0.06839807728946794,1.345,125.95416,-1,crowd_sourced,b'\x01\x01\x00\x00\x00\xfe\xff\xff\xff\x10}_@\x00\x00\x00\xc0\x1e\x85\xf5?',Indonesian Exclusive Economic Zone,True,-0.4438598390544117,False,BITUNG,-0.4254587942307973,Batu Angus,V,Not Applicable,-0.4176952072301631,False,-0.4177099820981211,2016,6,25,20,31,5,1,10543.0,5.5,218.0,-0.00557223606479243,10.0,2333.0505,0,212,-0.12135521442687286,-0.033648291597748466,-0.10684882726665233,0.0011937713671959706,0.9999992874547076,-0.8660254037844386,0.5000000000000001,1.2246467991473532e-16,-1.0,0,-0.14130931882834732,-0.020787649365462634,-0.8487133587158081,-1.649264510227804,-0.951156103670502,2.2826163186204402,0,41.303886,120.77597,Extreme
23593130178765,2015-07-09 01:17:15,-0.6617833323909948,-0.7369831554229394,-0.943389119308986,-1.7710300213070223,1.3111466,103.72562,-1,gfw,b'\x01\x01\x00\x00\x00\x00\x00\x00\x80p\xeeY@\x01\x00\x00\xe0t\xfa\xf4?',,False,-0.460963326125541,False,PULAU SAMBU,-0.6499682821056231,Muka Kuning,V,Not Applicable,-0.5961045893936945,False,0.6527664935871869,2015,7,9,1,17,3,0,11.0,0.0,194.6,-0.004904776472312219,165.4,0.0010655704,1,2,0.9206567490909591,-0.03431626446484457,27.01717084151895,-0.03090538306580162,0.9995223145570868,0.25881904510252074,0.9659258262890683,-0.4999999999999997,-0.8660254037844388,0,-0.6959008285144206,-0.83957087531293,-0.39374996164475445,-1.1583585892003192,1.1011100767075885,-0.4380937750433577,0,27.93723,9.083733,Extreme
87919276942456,2014-09-05 18:10:58,-0.6617833323909948,-0.7463537323333495,-0.943389119308986,-0.5152666078421105,-8.743,115.21251,-1,crowd_sourced,b'\x01\x01\x00\x00\x00\x00\x00\x00\xc0\x99\xcd\\@\x01\x00\x00\x80j|!\xc0',,False,-0.5732687278708427,True,BENOA,-0.7391635153826249,Ngurah Rai,VI,Part,-0.7579728551835369,False,0.650115486960923,2014,9,5,18,10,4,0,9.0,0.0,259.0,-0.004904776472312219,117.0,0.0,1,3,0.9206567490909591,-0.03431626446484457,22.91712806418665,-0.008992977612200479,0.9999595623592319,-1.0,-1.8369701987210297e-16,-1.0,-1.8369701987210297e-16,0,-1.0250758377178413,-0.83957087531293,-0.3988811148840425,-0.22613320381479235,1.9760965360444633,-0.4380937750433577,0,19.342976,8.414187,Extreme
87919276942456,2016-10-01 21:16:23,-0.6617833323909948,-0.7463537323333495,-0.943389119308986,0.9704253179473621,-8.743667,115.21233,-1,crowd_sourced,b'\x01\x01\x00\x00\x00\x01\x00\x00\xe0\x96\xcd\\@\xff\xff\xff\xdf\xc1|!\xc0',,False,-0.5727660929579428,True,BENOA,-0.7393584808436415,Ngurah Rai,VI,Part,-0.7579163080271054,False,0.650115486960923,2016,10,1,21,16,5,1,11.0,0.1,82.0,-0.13285071298872306,132.0,0.0,1,7,0.8977730822338301,0.09372806212964822,21.539513856165875,0.016936307174207618,0.9998565704636345,-0.7071067811865477,0.7071067811865474,-0.8660254037844386,0.5000000000000001,0,-1.0259126713977211,-0.83957087531293,-0.3988811148840425,-0.22613320381479235,-0.0969696394050265,-0.4380937750433577,0,18.034035,8.342254,High
165172979135964,2015-09-09 15:29:58,-0.6116041348148816,-0.1586510219221884,1.3849556731037356,0.5185273032105411,0.3253,124.17342,-1,false_positives,b'\x01\x01\x00\x00\x00\x01\x00\x00`\x19\x0b_@\x01\x00\x00 \xb7\xd1\xd4?',Indonesian Exclusive Economic Zone,True,-0.3053642144612854,False,GORONTALO,-0.27791643119018433,Bogani Nani Wartabone,II,Not Applicable,-0.6778935571665048,False,0.28957858578905116,2015,9,9,15,29,2,0,8942.0,10.8,219.3,-0.002543886203842194,39.59999,51.275677,0,51,-1.0179686206572904,-0.036678970251526284,-0.1000008304716102,0.00904988516638959,0.9999590489507434,-0.7071067811865471,-0.7071067811865479,-1.0,-1.8369701987210297e-16,1,0.11449324265219007,-0.6724357091055206,-1.096717955427198,1.4350130946115454,-0.9234227769086358,2.2826163186204402,0,18.025438,44.348072,High
87919276942456,2014-09-05 18:15:41,-0.6617833323909948,-0.7463537323333495,-0.943389119308986,1.2799444691535022,-8.743,115.21251,-1,crowd_sourced,b'\x01\x01\x00\x00\x00\x00\x00\x00\xc0\x99\xcd\\@\x01\x00\x00\x80j|!\xc0',,False,-0.5732687278708427,True,BENOA,-0.7391635153826249,Ngurah Rai,VI,Part,-0.7579728551835369,False,0.650115486960923,2014,9,5,18,15,4,0,9.0,0.0,233.0,-0.004904776472312219,112.0,0.0,1,3,0.9206567490909591,-0.03431626446484457,21.93311764747882,0.022337387239301055,0.9997504894379005,-1.0,-1.8369701987210297e-16,-1.0,-1.8369701987210297e-16,0,-1.0250758377178413,-0.83957087531293,-0.3988811148840425,-0.22613320381479235,1.9760965360444633,-0.4380937750433577,0,17.73559,8.42087,High
87919276942456,2014-09-05 18:11:26,-0.6617833323909948,-0.7463537323333495,-0.943389119308986,0.9704253179473621,-8.743,115.21251,-1,crowd_sourced,b'\x01\x01\x00\x00\x00\x00\x00\x00\xc0\x99\xcd\\@\x01\x00\x00\x80j|!\xc0',,False,-0.5732687278708427,True,BENOA,-0.7391635153826249,Ngurah Rai,VI,Part,-0.7579728551835369,False,0.650115486960923,2014,9,5,18,11,4,0,15.0,0.0,136.0,-0.004904776472312219,174.0,0.0,1,3,0.9206567490909591,-0.03431626446484457,21.293511251988917,0.016936307174207618,0.9998565704636345,-1.0,-1.8369701987210297e-16,-1.0,-1.8369701987210297e-16,0,-1.0250758377178413,-0.83957087531293,-0.3988811148840425,-0.22613320381479235,1.9760965360444633,-0.4380937750433577,0,16.196432,9.154389,High
33266086194351,2016-06-25 15:58:45,-0.4195102075210661,-0.46797623142280764,-0.943389119308986,-1.7710300213070223,0.006666667,123.27083,-1,crowd_sourced,b'\x01\x01\x00\x00\x00\xff\xff\xff?U\xd1^@\x00\x00\x00\xc0\x81N{?',Indonesian Exclusive Economic Zone,True,-0.5482689252837624,True,GORONTALO,-0.5216418105216782,Bogani Nani Wartabone,II,Not Applicable,-0.5860422357804678,False,-0.8015757415811142,2016,6,25,15,58,5,1,506432.0,3.3,141.0,-0.004996485478114811,141.0,239.86575,1,212,0.16549576497026228,-0.0342244849350653,-0.10816737924750142,-0.03090538306580162,0.9995223145570868,-0.7071067811865471,-0.7071067811865479,1.2246467991473532e-16,-1.0,0,-0.3463506460528388,-0.18693927555379633,-0.10572236966691881,-1.649264510227804,-0.951156103670502,2.2826163186204402,0,16.034227,77.64899,High
165172979135964,2016-05-03 02:07:20,-0.5928186180889654,-0.21143692645755344,1.5174630621540284,0.5813155278596431,-7.576667,125.945,-1,false_positives,b'\x01\x01\x00\x00\x00\x01\x00\x00\xe0z|_@\xfd\xff\xff\xbf\x81N\x1e\xc0',Indonesian Exclusive Economic Zone,True,-0.19905888371835387,False,LARANTUKA,0.5091201870714538,Gunung Api Kisar,V,Part,-0.20002682491133347,False,-0.8874683562720601,2016,5,3,2,7,1,0,1.0,13.9,266.0,-12.671547523860662,0.0,0.06441442,0,109,-1.6970396026966006,12.642067096833442,-0.10871531140630948,0.010145695887943612,0.999948531102951,0.49999999999999994,0.8660254037844387,0.49999999999999994,-0.8660254037844387,1,0.9394632274010438,-0.6153698057307184,0.06052699528600929,1.4350130946115454,-0.8478494614825508,-0.4380937750433577,0,13.346801,16.594515,High
23593130178765,2015-07-12 12:35:15,-0.6468227855291951,-0.7317210810174554,-0.9244594868618123,-0.7788000835712667,1.2420434,103.81336,-1,gfw,b'\x01\x01\x00\x00\x00\x00\x00\x00 \x0e\xf4Y@\xff\xff\xff\xdfh\xdf\xf3?',,False,-0.517980285788449,False,PULAU SAMBU,-0.6955867017263264,Muka Kuning,V,Not Applicable,-0.6490464550137949,False,0.6432228697326373,2015,7,12,12,35,6,1,0.0,0.0,102.8,-0.004904776472312219,9.399994,0.00017800368,1,2,0.9249885430529006,-0.03431626446484457,18.390668510854923,-0.013592207115933603,0.9999076216859824,1.2246467991473532e-16,-1.0,-0.4999999999999997,-0.8660254037844388,0,-0.8521757869312696,-0.7872777132272638,-0.4122221133061909,-1.1583585892003192,1.1011100767075885,-0.4380937750433577,0,13.155949,7.851642,High
